sid,source
85099,"#include<stdio.h>
#include<string.h>
int sum(int );
int main()
{
	char a[1000];
	while(scanf(""%s"",a)&&strcmp(a,""0"")!=0)
	{
		int i,j,k=0,m;
		m=strlen(a);
		for(i=0;i<m;i++)
		    k=k+a[i]-'0';
		while(k>=10)
		{
		    k=sum(k);
		}
		printf(""%d\n"",k);
	}
	return 0;
}
int sum(int k)
{
	int n=0;
	while(k>0)
	{
		n=n+k%10;
		k=k/10;
	}
	return n;
}"
4,"#include<stdio.h>
int main()
{int m,n,a,b;
while(scanf(""%d %d"",&m,&n)!=EOF)
{b=(n-2*m)/2;
a=m-b;
if(n<2*m||n>4*m)
 printf(""-1 -1\n"");
else
   printf(""%d %d\n"",a,b);
}
return 0;
}"
5,"#include<stdio.h>
int main()
{int m,n,a,b;
while(scanf(""%d %d"",&m,&n)!=EOF)
{b=(n-2*m)/2;
a=m-b;
if(n<2*m||n>4*m)
{a=-1;
b=-1;}
   printf(""%d %d\n"",a,b);
}
return 0;
}"
6,"#include<stdio.h>
#include<math.h>
#include<string.h>
int main()
{int n,s,i;
char a[100];
while(scanf(""%d"",&n)!=EOF)
{gets(a);
s=strlen(a);
for(i=0;i<s/2;i++)
{if(a[i]!=a[s-1-i])
	break;}
if(i==s/2)
printf(""yes\n"");
else
printf(""no\n"");

}return 0;
}"
7,"#include<stdio.h>
#include<math.h>
#include<string.h>
int main()
{int n,s,i,j;
char a[100];
scanf(""%d"",&n);
for(j=0;j<n;j++)
{scanf(""%s"",&a);
s=strlen(a);
for(i=0;i<s/2;i++)
{if(a[i]!=a[s-1-i])
	break;}
if(i==s/2)
printf(""yes\n"");
else
printf(""no\n"");

}return 0;
}"
8,"#include<stdio.h>
int main()
{
int a,b,c;
while(scanf(""%d"",&a)!=EOF)
{b=1;c=0;
	while(a/2!=0)
{	if(a%2==1)
b++;
else
c++;
a=a/2;}
printf(""%d\n%d\n"",b,c);}
return 0;
}"
9,"#include<stdio.h>                            1.  <大于N的数的平均数>
int main()
{int a[100],b[100],i,j,k,n,m,t,y,x;
double s;
scanf(""%d"",&m);
for(i=0;i<m;i++)
{t=0;
	scanf(""%d %d"",&k,&n);
for(j=0;j<k;j++)
{
	scanf(""%d"",&a[j]);
    if(a[j]>n)
    b[t++]=a[j];
}
if(t==0)
printf(""-1\n"");
else
{x=0;
	for(y=0;y<t;y++)
	{x=x+b[y];}
printf(""%.2lf\n"",1.0*x/t);
}
}
return 0;
}"
10,"#include<stdio.h>
int main()
{int n,a,b,r,s,i;
scanf(""%d"",&n);
for(i=0;i<n;i++)
{scanf(""%d %d"",&a,&b);
s=a*b;
do{r=a%b;
a=b;
b=r;}while(r!=0);
printf(""%d\n"",s/a);
}return 0;
}"
11,"#include<stdio.h>
int main()
{int n,a,b,r,c,i,s;
scanf(""%d"",&n);
for(i=0;i<n;i++)
{scanf(""%d %d %d"",&a,&b,&c);
do{r=a%b;
a=b;
b=r;}while(r!=0);
do{s=a%c;
a=c;
c=s;}while(s!=0);


printf(""%d\n"",a);
}return 0;
}"
12,"#include<stdio.h>
#include<math.h>
int main()
{int a,i,m;
while(scanf(""%d"",&a)!=EOF)
{m=sqrt(a);
	for(i=2;i<=m;i++)
{if(a%i==0)
break;}
if(i>m)
printf(""yes\n"");
else
printf(""no\n"");
}
return 0;
}"
13,"#include<stdio.h>
#include<math.h>
int main()
{int a,i,m;
while(scanf(""%d"",&a)!=EOF)
{m=sqrt(a);
for(i=2;i<=m;i++)
{if(a%i==0)
break;}
if(i>m)
printf(""Yes\n"");
else
printf(""No\n"");
}
return 0;
}"
